loan_amnt,term,int_rate,annual_inc,dti,credit_history_length,num_open_accounts,revol_util,delinq_2yrs,loan_status
16795,36,20.25,75690,3.9,11,14,79.19,2,1
1860,36,20.96,46086,22.36,17,11,40.23,3,0
12284,60,13.71,36859,20.04,29,2,42.5,0,0
7265,36,21.36,27684,28.25,17,9,38.29,0,0
17850,36,7.4,111088,21.37,24,2,71.91,4,0
22962,36,15.89,21207,21.63,4,13,54.75,4,1
17023,60,5.12,66099,17.18,21,3,94.38,1,0
2685,36,11.49,87496,12.35,8,7,25.09,4,0
1769,60,12.33,86093,19.29,5,3,10.06,1,0
3433,60,12.92,49689,4.74,26,9,39.33,0,1
6311,36,18.91,68651,38.46,16,6,61.67,1,0
18568,36,12.77,33893,28.58,4,3,86.08,1,0
20769,36,13.97,117808,38.1,28,9,34.62,2,0
29693,60,9.75,86418,9.07,22,1,65.38,4,0
7396,36,12.47,145074,35.17,29,10,35.02,1,0
28480,36,9.55,123065,32.35,15,3,61.72,0,1
26658,36,6.46,80011,27.09,12,1,88.48,3,0
19942,36,17.07,58635,25.0,5,2,23.14,1,1
19431,36,18.36,76115,12.66,23,12,40.42,4,0
3747,60,17.39,115071,32.66,16,8,99.33,2,0
1189,60,14.27,98405,20.06,14,7,86.86,0,1
20118,36,12.6,92702,2.84,10,2,56.46,2,0
2899,36,22.27,98518,12.51,7,2,51.66,3,0
2267,36,15.38,126233,37.41,13,9,28.46,1,0
32551,36,14.58,123651,34.03,20,13,51.72,1,0
12394,60,5.51,92805,39.28,28,13,84.82,4,0
4556,36,11.82,78954,25.12,29,6,68.52,1,0
4890,60,12.6,48064,9.9,5,5,29.0,0,1
31740,60,12.98,142813,6.51,29,10,20.15,3,1
15502,36,16.6,99063,7.48,3,6,26.52,2,0
22777,60,15.67,22454,0.79,15,9,16.98,3,1
11627,60,17.16,40878,15.63,4,11,9.56,1,1
9792,60,20.3,71098,7.66,15,7,41.91,2,0
9433,60,21.26,82154,16.47,14,10,11.33,4,0
12016,36,19.36,32991,37.4,20,10,17.19,3,0
24897,36,24.11,88344,17.22,19,14,54.73,2,0
3612,60,5.36,124946,35.12,13,9,16.46,2,0
24483,36,8.92,56593,24.22,10,4,6.39,2,1
18159,36,5.15,56304,9.89,21,2,31.74,0,0
15541,36,17.95,50386,14.23,5,12,22.03,3,0
27531,36,22.96,75220,3.36,27,8,51.53,2,0
2585,36,9.87,133613,13.34,23,4,10.24,3,0
4943,60,23.54,89338,27.1,20,13,75.18,2,0
24939,36,6.21,114289,2.88,29,9,90.62,4,0
20457,36,23.69,41083,8.22,20,4,74.34,4,0
2021,36,12.03,38354,15.26,25,8,53.28,4,0
12653,36,7.03,42190,39.28,6,9,86.07,1,0
14417,60,14.72,26142,31.39,4,13,69.49,2,0
10692,60,10.14,48398,29.34,2,9,1.06,1,0
7873,60,10.7,71971,4.65,22,10,39.41,3,0
6675,60,11.15,61862,31.24,16,4,85.1,1,0
1161,36,21.06,118668,31.41,18,1,34.59,3,0
27557,60,15.78,73410,24.04,5,3,3.52,3,0
34763,36,11.23,39503,39.61,22,9,74.62,3,1
33606,36,17.21,145438,13.01,4,4,80.2,1,0
12534,36,19.32,68456,37.65,13,5,16.06,2,0
30127,36,10.45,120167,36.59,19,7,53.73,1,1
26851,36,13.27,102035,0.46,23,5,19.2,2,0
2016,60,7.44,125388,18.0,2,4,71.92,2,0
25253,60,8.62,28016,39.08,13,2,27.16,3,1
25276,60,18.62,22384,4.12,11,2,31.62,1,0
24247,60,8.63,82320,21.91,22,13,84.5,2,0
25300,36,15.5,35072,39.16,29,13,47.63,4,1
9529,60,19.18,122239,22.22,4,4,66.98,2,0
18262,36,7.14,131431,7.59,22,10,40.24,4,0
10268,60,16.35,100018,23.29,20,13,29.8,1,0
22271,36,10.13,60510,8.18,20,10,62.55,1,0
13185,36,24.26,68933,20.79,15,13,15.49,1,0
22243,60,14.67,41826,2.96,4,9,37.3,2,0
9571,36,21.12,88026,24.22,9,8,20.9,0,1
3568,36,16.0,141668,20.67,7,3,69.58,2,1
3027,60,5.87,131628,29.61,19,14,94.42,2,1
3695,36,17.66,45518,25.23,19,9,99.55,3,0
6258,60,24.03,44045,21.98,6,14,45.03,3,0
23002,60,17.03,70876,27.59,6,5,25.25,2,1
34159,60,21.38,112446,5.76,20,11,44.28,4,1
14986,36,22.68,110102,23.81,15,3,84.73,3,0
13666,36,9.56,71919,6.88,15,5,20.6,2,0
4561,36,9.24,119441,37.02,25,13,95.21,0,0
27854,60,17.22,47103,2.73,20,10,34.19,4,0
23662,36,13.22,138805,17.21,9,13,98.58,1,0
9392,60,21.8,56188,27.83,4,4,83.86,2,1
31535,60,23.0,25845,18.32,18,8,80.86,2,0
14067,36,12.07,106698,3.68,18,13,31.79,4,0
24599,60,9.74,56674,22.14,5,12,0.88,3,0
12837,36,20.61,138325,25.67,20,5,38.21,3,0
15039,36,10.5,39337,28.15,23,10,30.18,3,0
31818,36,21.45,42313,14.93,11,12,3.74,1,0
20115,36,13.47,46943,22.55,5,8,50.54,4,0
11965,36,18.35,97949,18.03,22,9,40.3,4,0
25538,60,6.91,20276,26.88,26,4,63.46,3,0
6056,60,17.48,71151,23.34,4,7,62.12,3,0
33482,60,14.04,37611,21.03,29,2,12.07,0,0
9110,36,16.73,124641,9.98,12,6,97.7,0,1
14773,36,8.36,31944,0.08,2,8,18.69,2,0
28266,36,19.74,72887,6.96,13,12,44.53,2,1
18412,60,22.26,101442,4.68,10,7,48.81,4,0
34270,36,9.33,69847,17.96,9,7,81.31,4,1
7910,60,6.91,78653,24.49,10,8,9.92,1,1
26446,60,5.47,106072,8.52,7,7,42.86,1,0
1206,36,17.84,142589,37.56,4,5,62.85,0,0
22518,36,17.14,76622,0.27,19,7,21.52,2,0
23361,60,15.93,47810,30.89,10,13,62.75,0,1
24419,36,9.64,97842,25.01,3,14,92.37,0,0
23403,60,12.82,142225,14.94,25,10,99.75,2,0
19141,36,16.89,30503,2.02,21,3,3.25,1,0
15820,36,14.94,104761,25.1,29,5,23.56,2,1
7374,60,24.76,56976,15.42,19,7,31.03,3,0
2678,36,7.73,146439,37.45,21,9,39.91,3,0
34827,60,18.9,31590,21.68,2,2,24.23,3,0
17198,36,13.09,143421,37.59,27,4,20.35,4,0
10914,60,13.56,30886,8.82,20,12,95.46,1,0
28890,60,19.35,32866,29.03,10,7,91.85,1,0
23299,36,18.85,86624,24.69,2,1,4.7,4,0
3693,60,24.83,88899,29.58,2,13,33.88,0,1
30467,36,7.57,52792,8.59,28,2,40.51,3,0
